ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
1,6,5,7,2,1,2,5,1,1,1
2,4,6,6,4,4,3,1,1,1,1
3,2,5,6,5,5,3,1,1,1,1
4,4,3,6,3,3,4,2,1,1,1
5,3,4,6,3,6,4,2,1,1,1
6,1,2,6,6,5,6,2,1,4,1
7,3,4,6,2,6,5,2,1,1,1
8,4,3,6,1,6,4,2,1,1,1
9,6,6,6,4,2,4,2,1,1,1
10,4,3,6,4,5,4,3,1,2,1
11,1,1,6,5,6,7,2,1,4,1
12,4,2,6,3,5,5,4,1,1,1
13,1,2,6,4,7,7,2,1,4,1
14,3,2,6,3,6,4,3,1,3,1
15,4,1,6,3,7,5,3,1,1,1
16,4,2,6,3,6,5,3,1,1,1
17,4,1,6,2,6,6,4,1,1,1
18,7,7,7,1,1,2,6,1,1,1
19,6,6,6,2,2,2,5,1,1,1
20,3,3,6,6,4,4,3,1,1,1
21,4,2,6,5,4,4,3,1,3,1
22,6,7,6,1,2,2,5,1,1,1
23,3,1,6,3,4,5,4,1,1,1
24,4,2,6,4,5,6,4,1,1,1
25,3,4,6,2,4,3,3,1,1,1
26,4,2,6,2,5,6,3,1,1,1
27,4,3,6,4,3,5,3,1,1,1
28,3,2,6,4,5,4,3,1,1,1
29,4,1,6,4,6,4,4,1,1,1
30,4,3,6,3,4,5,3,1,1,1
31,4,1,6,3,6,6,4,1,2,1
32,3,2,6,2,7,4,4,1,1,1
33,4,2,6,3,5,6,4,1,4,1
34,4,1,6,4,7,5,4,1,1,1
35,4,1,6,4,5,4,5,1,1,1
36,1,4,6,2,4,4,4,1,1,1
37,6,6,6,4,1,3,5,1,1,1
38,5,1,6,4,5,6,4,1,1,1
39,7,6,6,1,1,2,6,1,1,1
40,7,6,6,1,1,2,6,1,1,1
41,4,2,6,2,5,6,5,1,1,1
42,4,1,6,2,6,5,4,1,1,1
43,4,3,6,4,4,5,4,1,1,1
44,7,6,6,1,1,3,6,1,1,1
45,4,1,6,2,5,6,5,1,5,1
46,6,5,6,4,1,4,5,1,1,1
47,5,3,6,2,4,4,5,1,3,1
48,7,6,6,1,1,1,6,1,2,1
49,7,3,6,1,2,2,7,1,1,1
50,6,5,6,3,2,5,5,1,1,1
51,7,5,6,1,1,2,7,1,3,1
52,6,3,6,3,2,5,6,1,2,1
53,5,5,5,2,4,4,5,1,1,1
54,5,3,5,3,4,4,6,1,1,1
55,4,3,5,3,5,3,5,1,2,1
56,4,1,5,3,7,4,5,1,4,1
57,1,3,6,2,5,6,3,1,5,1
58,5,2,6,3,5,5,3,1,1,1
59,4,5,6,2,5,5,1,1,1,1
60,4,4,6,2,4,4,2,1,2,1
61,6,5,6,2,3,2,5,1,1,1
62,6,6,6,4,1,2,4,2,1,1
63,7,5,7,1,1,3,6,1,2,1
64,7,6,6,1,1,1,6,1,1,1
65,7,5,6,1,2,3,6,1,1,1
66,6,5,6,2,1,2,6,1,1,1
67,6,3,6,1,2,3,7,1,3,1
68,6,3,6,1,2,3,7,1,3,1
69,6,3,6,1,2,3,6,1,3,1
70,7,4,6,1,2,2,7,1,1,1
71,1,7,6,6,1,2,1,1,2,2
72,5,5,7,3,1,4,3,1,5,2
73,1,3,6,5,6,7,1,1,1,2
74,2,4,6,5,4,6,1,1,1,2
75,1,3,6,5,6,7,1,1,1,2
76,1,3,6,5,6,7,1,1,1,2
77,2,5,6,5,3,7,1,1,1,2
78,2,3,6,5,4,6,1,1,1,2
79,2,6,6,3,5,3,1,1,2,2
80,1,2,6,7,4,7,1,1,1,2
81,1,2,6,7,3,7,1,1,1,2
82,1,4,6,4,6,6,1,1,1,2
83,2,4,6,3,4,7,2,1,1,2
84,1,3,6,5,4,7,2,1,2,2
85,1,7,5,7,2,7,1,1,1,2
86,2,4,6,5,4,3,2,1,1,2
87,1,4,6,5,6,3,1,1,1,2
88,2,4,6,5,3,7,2,1,2,2
89,2,3,6,5,5,5,2,1,1,2
90,2,1,6,6,6,6,2,1,2,2
91,5,2,6,2,2,6,5,1,4,2
