,sepal_length,sepal_width,petal_length,petal_width,class
0,3,7,1,1,0
1,2,5,1,1,0
2,1,6,1,1,0
3,1,6,2,1,0
4,2,8,1,1,0
5,4,9,4,2,0
6,1,7,1,1,0
7,2,7,2,1,0
8,1,5,1,1,0
9,2,6,2,1,0
10,4,8,2,1,0
11,1,7,3,1,0
12,1,5,1,1,0
13,1,5,1,1,0
14,6,10,1,1,0
15,5,11,2,2,0
16,4,9,1,2,0
17,3,7,1,1,0
18,5,9,4,1,0
19,3,9,2,1,0
20,4,7,4,1,0
21,3,8,2,2,0
22,1,8,1,1,0
23,3,6,4,2,0
24,1,7,4,1,0
25,2,5,3,1,0
26,2,7,3,2,0
27,4,7,2,1,0
28,4,7,1,1,0
29,1,6,3,1,0
30,1,6,3,1,0
31,4,7,2,2,0
32,4,10,2,1,0
33,4,11,1,1,0
34,2,6,2,1,0
35,2,6,1,1,0
36,4,7,1,1,0
37,2,6,2,1,0
38,1,5,1,1,0
39,3,7,2,1,0
40,2,7,1,1,0
41,1,2,1,1,0
42,1,6,1,1,0
43,2,7,3,3,0
44,3,9,4,2,0
45,1,5,1,1,0
46,3,9,3,1,0
47,1,6,1,1,0
48,4,8,2,1,0
49,2,6,1,1,0
50,11,6,7,6,1
51,8,6,6,7,1
52,10,6,8,7,1
53,4,2,5,6,1
54,9,4,7,7,1
55,5,4,6,6,1
56,8,6,7,7,1
57,2,2,4,5,1
58,9,5,7,6,1
59,4,4,5,6,1
60,2,1,4,5,1
61,6,5,6,7,1
62,7,1,5,5,1
63,7,5,7,6,1
64,5,5,5,6,1
65,10,6,6,6,1
66,5,5,6,7,1
67,6,4,5,5,1
68,8,1,6,7,1
69,5,3,5,5,1
70,6,6,8,8,1
71,7,4,5,6,1
72,8,3,8,7,1
73,7,4,7,6,1
74,8,5,6,6,1
75,9,5,6,6,1
76,10,4,8,6,1
77,10,5,8,8,1
78,7,5,6,7,1
79,5,3,4,5,1
80,4,2,5,5,1
81,4,2,5,5,1
82,6,4,5,6,1
83,7,4,8,7,1
84,4,5,6,7,1
85,7,7,6,7,1
86,10,6,7,7,1
87,8,2,6,6,1
88,5,5,5,6,1
89,4,3,5,6,1
90,4,3,6,6,1
91,7,5,7,6,1
92,6,3,5,6,1
93,2,2,4,5,1
94,5,4,6,6,1
95,5,5,6,6,1
96,5,5,6,6,1
97,8,5,6,6,1
98,3,3,4,5,1
99,5,4,5,6,1
100,8,6,11,11,2
101,6,4,8,9,2
102,11,5,11,10,2
103,8,5,10,8,2
104,9,5,10,10,2
105,11,5,11,10,2
106,2,3,6,8,2
107,11,5,11,8,2
108,10,3,10,8,2
109,11,8,11,11,2
110,9,6,8,9,2
111,8,4,9,9,2
112,10,5,10,10,2
113,5,3,8,9,2
114,6,4,8,11,2
115,8,6,9,11,2
116,9,5,10,8,2
117,11,9,11,10,2
118,11,3,11,11,2
119,7,1,8,7,2
120,10,6,10,11,2
121,5,4,8,9,2
122,11,4,11,9,2
123,8,4,8,8,2
124,10,6,10,10,2
125,11,6,11,8,2
126,8,4,8,8,2
127,7,5,8,8,2
128,8,4,10,10,2
129,11,5,10,7,2
130,11,4,11,9,2
131,11,9,11,9,2
132,8,4,10,10,2
133,8,4,8,7,2
134,7,3,10,6,2
135,11,5,11,11,2
136,8,7,10,11,2
137,8,6,10,8,2
138,7,5,8,8,2
139,10,6,9,10,2
140,10,6,10,11,2
141,10,6,8,11,2
142,6,4,8,9,2
143,10,6,11,11,2
144,10,6,10,11,2
145,10,5,9,11,2
146,8,3,8,9,2
147,9,5,9,9,2
148,8,7,9,11,2
149,6,5,8,8,2
