,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,class
0,4,0,2,1,1,1,0,1,0,0,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D4
1,5,0,2,1,0,3,1,1,1,1,1,0,0,2,2,0,0,0,1,1,3,0,1,1,0,2,0,0,4,0,0,0,0,0,0,D4
2,3,0,2,1,0,2,0,2,1,1,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D3
3,6,0,2,1,0,1,1,1,0,1,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D3
4,4,0,2,1,0,3,0,2,0,2,1,0,0,2,2,0,0,0,1,0,3,1,1,1,0,2,0,0,4,0,0,0,0,0,0,D2
5,5,0,2,1,0,2,0,1,1,1,1,1,0,2,2,0,0,0,1,1,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D3
6,3,0,2,1,0,2,1,1,0,2,1,1,0,2,2,0,0,0,1,1,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D4
7,3,0,2,1,0,1,0,2,1,0,1,1,0,2,2,0,0,0,1,0,3,0,1,1,0,0,0,0,4,0,0,0,0,0,0,D1
8,6,0,2,1,0,3,0,1,1,0,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,0,0,0,4,0,0,0,0,0,0,D4
9,6,0,2,1,0,1,0,1,0,2,1,1,0,2,2,0,0,0,1,0,3,1,1,1,0,2,0,0,4,0,0,0,0,0,0,D1
10,6,0,0,2,1,0,2,1,0,2,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D4
11,4,0,0,1,0,2,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D4
12,5,0,0,2,0,3,2,1,0,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D2
13,6,0,0,1,1,3,3,1,1,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,D2
14,3,0,0,2,1,0,2,1,0,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D2
15,4,0,0,1,1,1,3,1,1,2,1,0,0,2,2,0,0,0,1,1,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D4
16,3,0,0,1,0,1,2,1,0,2,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D2
17,5,0,0,2,1,2,2,1,0,1,1,1,0,2,2,0,0,0,1,1,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D3
18,6,0,0,2,0,1,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,2,1,0,4,0,0,0,0,0,0,D4
19,5,0,0,2,1,3,3,1,1,0,1,1,0,2,2,0,0,0,1,0,0,3,0,0,0,0,1,0,4,0,0,0,0,0,0,D4
20,0,1,2,0,0,1,1,1,1,2,1,1,0,2,2,0,0,0,1,0,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,D4
21,2,1,2,0,0,3,1,2,0,1,1,0,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,D2
22,2,1,2,0,0,2,1,1,0,0,1,1,0,2,2,0,0,0,1,0,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,D3
23,0,1,2,0,0,0,1,1,1,1,1,1,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,D4
24,0,1,2,0,0,2,1,1,1,1,1,1,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,0,D1
25,4,0,2,0,1,0,1,2,0,0,1,1,0,2,2,0,0,0,1,1,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,D3
26,2,1,2,0,0,3,1,2,0,1,1,1,0,2,2,0,0,0,1,0,1,1,0,1,1,0,0,3,4,0,0,0,0,0,0,D4
27,0,1,2,0,0,0,1,1,0,2,1,1,0,2,2,0,0,0,1,0,1,1,0,1,0,0,0,3,4,0,0,0,0,0,1,D3
28,3,0,2,0,1,3,1,2,0,2,1,1,0,2,2,0,0,0,1,1,1,1,0,1,1,2,0,3,4,0,0,0,0,0,0,D1
29,0,1,2,0,0,1,1,2,1,0,1,1,0,2,2,0,0,0,1,0,1,1,0,1,0,2,0,3,4,0,0,0,0,0,0,D1
30,2,1,2,1,1,3,1,2,1,0,1,1,0,2,2,0,0,0,1,0,2,2,0,1,0,0,0,3,4,0,0,0,0,0,1,D4
31,0,1,1,1,0,1,1,1,0,2,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,2,0,3,4,0,0,0,0,0,1,D3
32,3,1,2,0,0,1,1,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D4
33,2,1,2,1,1,1,1,2,0,2,1,1,0,2,2,0,0,0,1,0,1,2,0,1,0,2,0,3,4,0,0,0,0,0,1,D4
34,1,1,2,0,0,3,1,1,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D1
35,1,1,2,1,0,0,1,2,1,1,1,0,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D4
36,0,1,2,1,0,3,1,1,0,1,1,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D4
37,2,1,2,0,0,1,1,2,0,2,1,1,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D3
38,3,1,2,0,0,2,1,2,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,2,0,3,4,0,0,0,0,0,1,D2
39,3,1,1,0,0,2,1,2,1,2,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D1
40,0,1,2,1,1,1,1,1,0,2,1,0,0,2,2,0,0,0,1,0,1,2,0,1,0,0,0,3,4,0,0,0,0,0,1,D1
41,1,1,2,1,1,3,1,2,0,2,1,1,0,2,2,0,0,0,1,1,1,2,0,1,0,0,0,3,4,0,0,0,0,0,1,D2
42,1,1,2,0,0,0,1,2,1,2,1,1,0,2,2,0,0,0,1,0,2,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D2
43,1,1,2,1,1,2,3,1,1,1,1,1,0,2,2,0,0,0,1,0,2,2,0,1,0,0,0,3,4,0,0,0,0,0,1,D1
44,2,1,1,0,0,3,1,2,0,0,1,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D2
45,0,1,1,1,1,2,1,2,1,2,1,1,0,2,2,0,0,0,1,1,2,2,0,1,0,0,0,3,4,0,0,0,0,0,1,D3
46,0,1,2,1,0,3,1,1,0,0,1,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,4,0,0,0,0,0,1,D1
